model,target,question_id,scope_id,kw_context,vl_propform,justify,k-shot,repeat_num,q_kw,q_vl,q_lf,expected,response
mistralai,Subst_sens_similaire,33,2,0,1,1,10,1,fièvre,fébrilement,Adv_1,Non,Oui
mistralai,Subst_sens_similaire,35,2,0,1,1,10,1,averse,en averse,Adv_1,Non,Oui
mistralai,Subst_sens_similaire,36,2,0,1,1,10,1,probable,probablement,Adv_0,Non,Oui
mistralai,Subst_sens_similaire,38,2,0,1,1,10,1,exécuter,exécuté,A_2,Non,Oui
mistralai,Subst_sens_similaire,39,2,0,1,1,10,1,sensible,sensible,Conv_21,Non,Oui
mistralai,Subst_sens_similaire,40,2,0,1,1,10,1,cession,céder,V_0,Non,Oui
mistralai,Syn,2,1,0,1,1,10,1,e-mail,adresse e-mail,Syn,Oui,Oui
mistralai,Syn,3,1,0,1,1,10,1,s’enlaidir,enlaidir,Syn,Oui,Oui
mistralai,Syn,4,1,0,1,1,10,1,planquer,dissimuler,Syn,Oui,Oui
mistralai,Syn,5,1,0,1,1,10,1,bachot,bac,Syn,Oui,Oui
mistralai,Syn,6,1,0,1,1,10,1,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,6,1,0,1,1,10,2,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,6,1,0,1,1,10,4,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,6,1,0,1,1,10,5,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,7,1,0,1,1,10,1,à fond les manettes,à fond,Syn,Oui,Oui
mistralai,Syn,8,1,0,1,1,10,1,pied,arpion,Syn,Oui,Oui
mistralai,Syn,10,1,0,1,1,10,1,ballon rond,football,Syn,Oui,Oui
mistralai,Syn,11,1,0,1,1,10,1,reprocher,blâmer,Conv_32,Non,Oui
mistralai,Syn,13,1,0,1,1,10,1,ver,espèce,Gener,Non,Oui
mistralai,Syn,14,1,0,1,1,10,1,sprinter,athlète,Gener,Non,Oui
mistralai,Syn,15,1,0,1,1,10,1,front,partie du corps,Gener,Non,Oui
mistralai,Syn,15,1,0,1,1,10,2,front,partie du corps,Gener,Non,Oui
mistralai,Syn,15,1,0,1,1,10,3,front,partie du corps,Gener,Non,Oui
mistralai,Syn,15,1,0,1,1,10,4,front,partie du corps,Gener,Non,Oui
mistralai,Syn,15,1,0,1,1,10,5,front,partie du corps,Gener,Non,Oui
mistralai,Syn,16,1,0,1,1,10,1,F7,habitation,Gener,Non,Oui
mistralai,Syn,17,1,0,1,1,10,1,se coucher,coucher,Conv_21,Non,Oui
mistralai,Syn,18,1,0,1,1,10,1,uniforme,tenue,Gener,Non,Oui
mistralai,Syn,19,1,0,1,1,10,1,cercueil,boisson alcoolisée,Gener,Non,Oui
mistralai,Syn,20,1,0,1,1,10,1,appartenir,posséder,Conv_21,Non,Oui
mistralai,Syn,21,2,0,1,1,10,1,nombre,chiffre,Syn,Oui,Oui
mistralai,Syn,22,2,0,1,1,10,1,e-mail,adresse e-mail,Syn,Oui,Oui
mistralai,Syn,23,2,0,1,1,10,1,s’enlaidir,enlaidir,Syn,Oui,Oui
mistralai,Syn,24,2,0,1,1,10,1,planquer,dissimuler,Syn,Oui,Oui
mistralai,Syn,25,2,0,1,1,10,1,bachot,bac,Syn,Oui,Oui
mistralai,Syn,26,2,0,1,1,10,1,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,26,2,0,1,1,10,2,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,26,2,0,1,1,10,4,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,26,2,0,1,1,10,5,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,27,2,0,1,1,10,1,à fond les manettes,à fond,Syn,Oui,Oui
mistralai,Syn,28,2,0,1,1,10,1,pied,arpion,Syn,Oui,Oui
mistralai,Syn,29,2,0,1,1,10,1,bon-papa,grand-père,Syn,Oui,Oui
mistralai,Syn,30,2,0,1,1,10,1,ballon rond,football,Syn,Oui,Oui
mistralai,Syn,31,2,0,1,1,10,1,tenir à cœur,tenir à cœur,Conv_21,Non,Oui
mistralai,Syn,33,2,0,1,1,10,1,cyclomoteur,deux-roues,Gener,Non,Oui
mistralai,Syn,34,2,0,1,1,10,1,respecter,respecter,Conv_32,Non,Oui
mistralai,Syn,35,2,0,1,1,10,1,accueillir,se trouver,Conv_21,Non,Non
mistralai,Syn,35,2,0,1,1,10,2,accueillir,se trouver,Conv_21,Non,Non
mistralai,Syn,36,2,0,1,1,10,1,irréconciliable,réconciliable,Anti,Non,Oui
mistralai,Syn,37,2,0,1,1,10,1,volubilis,plante,Gener,Non,Oui
mistralai,Syn,38,2,0,1,1,10,1,ne pas se faire que des amis,ne pas se faire que des ennemis,Anti,Non,Oui
mistralai,Syn,39,2,0,1,1,10,1,sapin,moyen de transport,Gener,Non,Oui
mistralai,Syn,40,2,0,1,1,10,1,brownie,gâteau,Gener,Non,Oui
mistralai,Syn,40,2,0,1,1,10,2,brownie,gâteau,Gener,Non,Oui
mistralai,Syn,41,3,0,1,1,10,1,nombre,chiffre,Syn,Oui,Oui
mistralai,Syn,42,3,0,1,1,10,1,e-mail,adresse e-mail,Syn,Oui,Oui
mistralai,Syn,43,3,0,1,1,10,1,s’enlaidir,enlaidir,Syn,Oui,Oui
mistralai,Syn,44,3,0,1,1,10,1,planquer,dissimuler,Syn,Oui,Oui
mistralai,Syn,45,3,0,1,1,10,1,bachot,bac,Syn,Oui,Oui
mistralai,Syn,46,3,0,1,1,10,1,aspirateur,aspi,Syn,Oui,Oui
mistralai,Syn,48,3,0,1,1,10,1,pied,arpion,Syn,Oui,Oui
mistralai,Syn,49,3,0,1,1,10,1,bon-papa,grand-père,Syn,Oui,Oui
mistralai,Syn,50,3,0,1,1,10,1,ballon rond,football,Syn,Oui,Oui
mistralai,Syn,52,3,0,1,1,10,1,se désespérer,désespérer,Conv_21,Non,Oui
mistralai,Syn,53,3,0,1,1,10,1,sourire,sourire,S_0,Non,Oui
mistralai,Syn,54,3,0,1,1,10,1,emprunter,prêter,Conv_321,Non,Oui
mistralai,Syn,55,3,0,1,1,10,1,déprimer,déprimé,A_2,Non,Oui
mistralai,Syn,55,3,0,1,1,10,2,déprimer,déprimé,A_2,Non,Oui
mistralai,Syn,57,3,0,1,1,10,1,ébahir,s’ébahir,Conv_21,Non,Oui
mistralai,Syn,58,3,0,1,1,10,1,table,meuble,Gener,Non,Oui
mistralai,Syn,59,3,0,1,1,10,1,sainteté,saintement,Adv_0,Non,Oui
mistralai,Syn,60,3,0,1,1,10,1,crocus,plante,Gener,Non,Oui
mistralai,Conv-ij,1,1,0,1,1,10,1,aspirer,aspirer,Conv_321,Oui,Oui
mistralai,Conv-ij,2,1,0,1,1,10,1,se composer,composer,Conv_21,Oui,Oui
mistralai,Conv-ij,3,1,0,1,1,10,1,aîné,cadet,Conv_21,Oui,Oui
mistralai,Conv-ij,3,1,0,1,1,10,2,aîné,cadet,Conv_21,Oui,Oui
mistralai,Conv-ij,4,1,0,1,1,10,1,apprendre,apprendre,Conv_321,Oui,Oui
mistralai,Conv-ij,5,1,0,1,1,10,1,à gauche,à droite,Conv_21,Oui,Oui
mistralai,Conv-ij,6,1,0,1,1,10,1,aller,avoir,Conv_21,Oui,Non
mistralai,Conv-ij,7,1,0,1,1,10,1,déprimer,déprimer,Conv_21,Oui,Oui
mistralai,Conv-ij,8,1,0,1,1,10,1,se souvenir,revenir,Conv_21,Oui,Oui
mistralai,Conv-ij,9,1,0,1,1,10,1,résultat,cause,Conv_21,Oui,Oui
mistralai,Conv-ij,10,1,0,1,1,10,1,cause,conséquence,Conv_21,Oui,Oui
mistralai,Conv-ij,10,1,0,1,1,10,2,cause,conséquence,Conv_21,Oui,Oui
mistralai,Conv-ij,10,1,0,1,1,10,5,cause,conséquence,Conv_21,Oui,Oui
mistralai,Conv-ij,12,1,0,1,1,10,1,lieux d’aisances,W.-C.,Syn,Non,Oui
mistralai,Conv-ij,13,1,0,1,1,10,1,cabinet,wawa,Syn,Non,Oui
mistralai,Conv-ij,13,1,0,1,1,10,2,cabinet,wawa,Syn,Non,Oui
mistralai,Conv-ij,14,1,0,1,1,10,1,wawa,water-closet,Syn,Non,Oui
mistralai,Conv-ij,15,1,0,1,1,10,1,caïman,reptile,Gener,Non,Oui
mistralai,Conv-ij,16,1,0,1,1,10,1,mél,adresse mail,Syn,Non,Oui
mistralai,Conv-ij,17,1,0,1,1,10,1,saumon,poisson,Gener,Non,Oui
mistralai,Conv-ij,18,1,0,1,1,10,1,mille-feuille,pâtisserie,Gener,Non,Oui
mistralai,Conv-ij,18,1,0,1,1,10,2,mille-feuille,pâtisserie,Gener,Non,Oui
mistralai,Conv-ij,18,1,0,1,1,10,5,mille-feuille,pâtisserie,Gener,Non,Oui
mistralai,Conv-ij,19,1,0,1,1,10,1,orteil,doigt de pied,Syn,Non,Oui
mistralai,Conv-ij,20,1,0,1,1,10,1,glaïeul,fleur,Gener,Non,Oui
mistralai,Conv-ij,21,2,0,1,1,10,1,aspirer,aspirer,Conv_321,Oui,Oui
mistralai,Conv-ij,22,2,0,1,1,10,1,se composer,composer,Conv_21,Oui,Oui
mistralai,Conv-ij,22,2,0,1,1,10,2,se composer,composer,Conv_21,Oui,Oui
mistralai,Conv-ij,23,2,0,1,1,10,1,aîné,cadet,Conv_21,Oui,Oui
mistralai,Conv-ij,23,2,0,1,1,10,2,aîné,cadet,Conv_21,Oui,Oui
mistralai,Conv-ij,24,2,0,1,1,10,1,apprendre,apprendre,Conv_321,Oui,Oui
mistralai,Conv-ij,25,2,0,1,1,10,1,à gauche,à droite,Conv_21,Oui,Oui
mistralai,Conv-ij,26,2,0,1,1,10,1,aller,avoir,Conv_21,Oui,Oui
mistralai,Conv-ij,28,2,0,1,1,10,1,se souvenir,revenir,Conv_21,Oui,Oui
mistralai,Conv-ij,29,2,0,1,1,10,1,résultat,cause,Conv_21,Oui,Oui
mistralai,Conv-ij,30,2,0,1,1,10,1,cause,conséquence,Conv_21,Oui,Oui
mistralai,Conv-ij,31,2,0,1,1,10,1,débuter,finir,Anti,Non,Oui
mistralai,Conv-ij,32,2,0,1,1,10,1,inutilisable,utilisable,Anti,Non,Oui
mistralai,Conv-ij,33,2,0,1,1,10,1,caca,étron,Syn,Non,Oui
mistralai,Conv-ij,34,2,0,1,1,10,1,imper,imperméable,Syn,Non,Oui
mistralai,Conv-ij,35,2,0,1,1,10,1,gallois,langue,Gener,Non,Oui
mistralai,Conv-ij,38,2,0,1,1,10,1,blâmer,reprocher,Conv_32,Non,Oui
mistralai,Conv-ij,38,2,0,1,1,10,2,blâmer,reprocher,Conv_32,Non,Oui
mistralai,Conv-ij,38,2,0,1,1,10,4,blâmer,reprocher,Conv_32,Non,Oui
mistralai,Conv-ij,38,2,0,1,1,10,5,blâmer,reprocher,Conv_32,Non,Oui
mistralai,Conv-ij,39,2,0,1,1,10,1,adresse électronique,e-mail,Syn,Non,Oui
mistralai,Conv-ij,40,2,0,1,1,10,1,activer,désactiver,Anti,Non,Oui
mistralai,Conv-ij,40,2,0,1,1,10,2,activer,désactiver,Anti,Non,Oui
mistralai,Conv-ij,41,3,0,1,1,10,1,aspirer,aspirer,Conv_321,Oui,Oui
mistralai,Conv-ij,42,3,0,1,1,10,1,se composer,composer,Conv_21,Oui,Oui
mistralai,Conv-ij,42,3,0,1,1,10,2,se composer,composer,Conv_21,Oui,Oui
mistralai,Conv-ij,43,3,0,1,1,10,1,aîné,cadet,Conv_21,Oui,Oui
mistralai,Conv-ij,43,3,0,1,1,10,2,aîné,cadet,Conv_21,Oui,Oui
mistralai,Conv-ij,45,3,0,1,1,10,1,à gauche,à droite,Conv_21,Oui,Oui
mistralai,Conv-ij,46,3,0,1,1,10,1,aller,avoir,Conv_21,Oui,Oui
mistralai,Conv-ij,47,3,0,1,1,10,1,déprimer,déprimer,Conv_21,Oui,Oui
mistralai,Conv-ij,47,3,0,1,1,10,2,déprimer,déprimer,Conv_21,Oui,Oui
mistralai,Conv-ij,48,3,0,1,1,10,1,se souvenir,revenir,Conv_21,Oui,Oui
mistralai,Conv-ij,49,3,0,1,1,10,1,résultat,cause,Conv_21,Oui,Oui
mistralai,Conv-ij,50,3,0,1,1,10,1,cause,conséquence,Conv_21,Oui,Oui
mistralai,Conv-ij,50,3,0,1,1,10,2,cause,conséquence,Conv_21,Oui,Oui
mistralai,Conv-ij,51,3,0,1,1,10,1,cuisiner,repas,S_2,Non,Oui
mistralai,Conv-ij,52,3,0,1,1,10,1,injustice,injustement,Adv_1,Non,Oui
mistralai,Conv-ij,53,3,0,1,1,10,1,arrêter,s’arrêter,Result_2,Non,Oui
mistralai,Conv-ij,53,3,0,1,1,10,2,arrêter,s’arrêter,Result_2,Non,Oui
mistralai,Conv-ij,54,3,0,1,1,10,1,couché,être,Pred,Non,Oui
mistralai,Conv-ij,55,3,0,1,1,10,1,arrêter,s’arrêter,Result_2,Non,Oui
mistralai,Conv-ij,55,3,0,1,1,10,2,arrêter,s’arrêter,Result_2,Non,Oui
mistralai,Conv-ij,55,3,0,1,1,10,4,arrêter,s’arrêter,Result_2,Non,Oui
mistralai,Conv-ij,55,3,0,1,1,10,5,arrêter,s’arrêter,Result_2,Non,Oui
mistralai,Conv-ij,56,3,0,1,1,10,1,terre,terrestre,A_0,Non,Oui
mistralai,Conv-ij,57,3,0,1,1,10,1,décider,décision,S_0,Non,Oui
mistralai,Conv-ij,58,3,0,1,1,10,1,vierge,Vierge Mère,Syn,Non,Oui
mistralai,Conv-ij,59,3,0,1,1,10,1,se terminer,terminer,Conv_21,Non,Oui
mistralai,Conv-ij,60,3,0,1,1,10,1,gentiane,apéritif,Gener,Non,Oui
mistralai,Gener,1,1,0,1,1,10,1,liseron,fleur,Gener,Oui,Oui
mistralai,Gener,2,1,0,1,1,10,1,grève,mouvement social,Gener,Oui,Oui
mistralai,Gener,3,1,0,1,1,10,1,soleil,astre,Gener,Oui,Oui
mistralai,Gener,4,1,0,1,1,10,1,lavement,acte médical,Gener,Oui,Oui
mistralai,Gener,5,1,0,1,1,10,1,mammifère,ordre,Gener,Oui,Oui
mistralai,Gener,5,1,0,1,1,10,2,mammifère,ordre,Gener,Oui,Oui
mistralai,Gener,5,1,0,1,1,10,4,mammifère,ordre,Gener,Oui,Oui
mistralai,Gener,5,1,0,1,1,10,5,mammifère,ordre,Gener,Oui,Oui
mistralai,Gener,6,1,0,1,1,10,1,soleil,lieu géographique,Gener,Oui,Oui
mistralai,Gener,7,1,0,1,1,10,1,calcéolaire,plante,Gener,Oui,Oui
mistralai,Gener,8,1,0,1,1,10,1,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,8,1,0,1,1,10,2,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,8,1,0,1,1,10,3,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,8,1,0,1,1,10,4,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,8,1,0,1,1,10,5,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,9,1,0,1,1,10,1,curiosité,sentiment,Gener,Oui,Oui
mistralai,Gener,10,1,0,1,1,10,1,guitare,instrument,Gener,Oui,Oui
mistralai,Gener,11,1,0,1,1,10,1,désespérer,se désespérer,Conv_21,Non,Oui
mistralai,Gener,12,1,0,1,1,10,1,instit,institutrice,Syn,Non,Oui
mistralai,Gener,12,1,0,1,1,10,2,instit,institutrice,Syn,Non,Oui
mistralai,Gener,12,1,0,1,1,10,3,instit,institutrice,Syn,Non,Oui
mistralai,Gener,12,1,0,1,1,10,4,instit,institutrice,Syn,Non,Oui
mistralai,Gener,12,1,0,1,1,10,5,instit,institutrice,Syn,Non,Oui
mistralai,Gener,13,1,0,1,1,10,1,servir,faire usage,Conv_231,Non,Oui
mistralai,Gener,14,1,0,1,1,10,1,avoir,aller,Conv_21,Non,Oui
mistralai,Gener,15,1,0,1,1,10,1,rando,randonnée,Syn,Non,Oui
mistralai,Gener,15,1,0,1,1,10,2,rando,randonnée,Syn,Non,Oui
mistralai,Gener,15,1,0,1,1,10,5,rando,randonnée,Syn,Non,Oui
mistralai,Gener,16,1,0,1,1,10,1,gogues,cabinet d’aisances,Syn,Non,Oui
mistralai,Gener,17,1,0,1,1,10,1,cigare,caboche,Syn,Non,Oui
mistralai,Gener,18,1,0,1,1,10,1,accueillir,se trouver,Conv_21,Non,Non
mistralai,Gener,20,1,0,1,1,10,1,sanitaire,gogues,Syn,Non,Oui
mistralai,Gener,21,2,0,1,1,10,1,liseron,fleur,Gener,Oui,Oui
mistralai,Gener,22,2,0,1,1,10,1,grève,mouvement social,Gener,Oui,Oui
mistralai,Gener,23,2,0,1,1,10,1,soleil,astre,Gener,Oui,Oui
mistralai,Gener,25,2,0,1,1,10,1,mammifère,ordre,Gener,Oui,Oui
mistralai,Gener,26,2,0,1,1,10,1,soleil,lieu géographique,Gener,Oui,Oui
mistralai,Gener,27,2,0,1,1,10,1,calcéolaire,plante,Gener,Oui,Oui
mistralai,Gener,28,2,0,1,1,10,1,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,29,2,0,1,1,10,1,curiosité,sentiment,Gener,Oui,Oui
mistralai,Gener,30,2,0,1,1,10,1,guitare,instrument,Gener,Oui,Oui
mistralai,Gener,31,2,0,1,1,10,1,crado,crade,Syn,Non,Oui
mistralai,Gener,32,2,0,1,1,10,1,enchaîner,désenchaîner,Anti,Non,Oui
mistralai,Gener,33,2,0,1,1,10,1,bonhomme,homme,Syn,Non,Oui
mistralai,Gener,34,2,0,1,1,10,1,crade,craspec,Syn,Non,Oui
mistralai,Gener,35,2,0,1,1,10,1,est,ouest,Contr,Non,Oui
mistralai,Gener,36,2,0,1,1,10,1,sanitaire,tinette,Syn,Non,Oui
mistralai,Gener,37,2,0,1,1,10,1,choper,attraper,Syn,Non,Oui
mistralai,Gener,39,2,0,1,1,10,1,postérieur,croupe,Syn,Non,Oui
mistralai,Gener,40,2,0,1,1,10,1,faire usage,servir,Conv_231,Non,Oui
mistralai,Gener,41,3,0,1,1,10,1,liseron,fleur,Gener,Oui,Oui
mistralai,Gener,42,3,0,1,1,10,1,grève,mouvement social,Gener,Oui,Oui
mistralai,Gener,43,3,0,1,1,10,1,soleil,astre,Gener,Oui,Oui
mistralai,Gener,45,3,0,1,1,10,1,mammifère,ordre,Gener,Oui,Oui
mistralai,Gener,46,3,0,1,1,10,1,soleil,lieu géographique,Gener,Oui,Oui
mistralai,Gener,47,3,0,1,1,10,1,calcéolaire,plante,Gener,Oui,Oui
mistralai,Gener,48,3,0,1,1,10,1,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,48,3,0,1,1,10,2,chemise,vêtement,Gener,Oui,Oui
mistralai,Gener,49,3,0,1,1,10,1,curiosité,sentiment,Gener,Oui,Oui
mistralai,Gener,50,3,0,1,1,10,1,guitare,instrument,Gener,Oui,Oui
mistralai,Gener,51,3,0,1,1,10,1,habileté,avec habileté,Adv_1,Non,Oui
mistralai,Gener,52,3,0,1,1,10,1,épluchure,légume,S_1,Non,Oui
mistralai,Gener,53,3,0,1,1,10,1,arrêter,s’arrêter,Result_2,Non,Oui
mistralai,Gener,54,3,0,1,1,10,1,élégance,élégamment,Adv_1,Non,Oui
mistralai,Gener,55,3,0,1,1,10,1,crade,craspec,Syn,Non,Oui
mistralai,Gener,56,3,0,1,1,10,1,essai,essayer,V_0,Non,Oui
mistralai,Gener,57,3,0,1,1,10,1,abattre,abattu,A_2,Non,Oui
mistralai,Gener,58,3,0,1,1,10,1,conduire,résulter,Conv_21,Non,Oui
mistralai,Gener,59,3,0,1,1,10,1,causer,résulter,Conv_21,Non,Oui
mistralai,Gener,60,3,0,1,1,10,1,admission,admissible,S_2,Non,Oui
mistralai,Subst_sens_opposé,1,1,0,1,1,10,1,maison,appartement,Contr,Oui,Oui
mistralai,Subst_sens_opposé,2,1,0,1,1,10,1,hors service,en service,Anti,Oui,Oui
mistralai,Subst_sens_opposé,3,1,0,1,1,10,1,manquer,manquer,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,4,1,0,1,1,10,1,avoir,aller,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,5,1,0,1,1,10,1,arrière-petit-fils,arrière-petite-fille,Contr,Oui,Oui
mistralai,Subst_sens_opposé,6,1,0,1,1,10,1,sensible,sensible,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,7,1,0,1,1,10,1,se souvenir,revenir,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,8,1,0,1,1,10,1,impair,pair,Anti,Oui,Oui
mistralai,Subst_sens_opposé,10,1,0,1,1,10,1,ouvert,fermé,Anti,Oui,Oui
mistralai,Subst_sens_opposé,10,1,0,1,1,10,2,ouvert,fermé,Anti,Oui,Oui
mistralai,Subst_sens_opposé,11,1,0,1,1,10,1,derche,fessier,Syn,Non,Oui
mistralai,Subst_sens_opposé,12,1,0,1,1,10,1,causer,résulter,Conv_21,Non,Oui
mistralai,Subst_sens_opposé,13,1,0,1,1,10,1,travailleur,bosseur,Syn,Non,Oui
mistralai,Subst_sens_opposé,13,1,0,1,1,10,2,travailleur,bosseur,Syn,Non,Oui
mistralai,Subst_sens_opposé,14,1,0,1,1,10,1,antichambre,pièce,Gener,Non,Oui
mistralai,Subst_sens_opposé,15,1,0,1,1,10,1,poulet,oiseau,Gener,Non,Oui
mistralai,Subst_sens_opposé,18,1,0,1,1,10,1,postérieur,antérieur,Conv_21,Non,Oui
mistralai,Subst_sens_opposé,19,1,0,1,1,10,1,cagoinces,tinette,Syn,Non,Oui
mistralai,Subst_sens_opposé,20,1,0,1,1,10,1,oseille,fric,Syn,Non,Oui
mistralai,Subst_sens_opposé,21,2,0,1,1,10,1,maison,appartement,Contr,Oui,Oui
mistralai,Subst_sens_opposé,22,2,0,1,1,10,1,hors service,en service,Anti,Oui,Oui
mistralai,Subst_sens_opposé,23,2,0,1,1,10,1,manquer,manquer,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,24,2,0,1,1,10,1,avoir,aller,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,26,2,0,1,1,10,1,sensible,sensible,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,27,2,0,1,1,10,1,se souvenir,revenir,Conv_21,Oui,Oui
mistralai,Subst_sens_opposé,28,2,0,1,1,10,1,impair,pair,Anti,Oui,Oui
mistralai,Subst_sens_opposé,29,2,0,1,1,10,1,vocalique,consonantique,Anti,Oui,Oui
mistralai,Subst_sens_opposé,30,2,0,1,1,10,1,ouvert,fermé,Anti,Oui,Oui
mistralai,Subst_sens_opposé,31,2,0,1,1,10,1,ski,skier,V_0,Non,Oui
mistralai,Subst_sens_opposé,32,2,0,1,1,10,1,servir,service,S_0,Non,Oui
