model,target,question_id,scope_id,kw_context,vl_propform,justify,k-shot,repeat_num,q_kw,q_vl,q_lf,expected,response
Qwen,Substitutive,8,1,0,1,1,10,2,coq,oiseau,Gener,Oui,Non
Qwen,Substitutive,8,1,0,1,1,10,3,coq,oiseau,Gener,Oui,Non
Qwen,Substitutive,8,1,0,1,1,10,4,coq,oiseau,Gener,Oui,Non
Qwen,Substitutive,8,1,0,1,1,10,5,coq,oiseau,Gener,Oui,Non
Qwen,Substitutive,9,1,0,1,1,10,1,prêter,emprunter,Conv_321,Oui,Non
Qwen,Substitutive,9,1,0,1,1,10,2,prêter,emprunter,Conv_321,Oui,Non
Qwen,Substitutive,9,1,0,1,1,10,3,prêter,emprunter,Conv_321,Oui,Non
Qwen,Substitutive,9,1,0,1,1,10,4,prêter,emprunter,Conv_321,Oui,Non
Qwen,Substitutive,9,1,0,1,1,10,5,prêter,emprunter,Conv_321,Oui,Non
Qwen,Substitutive,10,1,0,1,1,10,1,à froid,à chaud,Contr,Oui,Oui
Qwen,Substitutive,10,1,0,1,1,10,2,à froid,à chaud,Contr,Oui,Oui
Qwen,Substitutive,10,1,0,1,1,10,3,à froid,à chaud,Contr,Oui,Oui
Qwen,Substitutive,10,1,0,1,1,10,4,à froid,à chaud,Contr,Oui,Oui
Qwen,Substitutive,10,1,0,1,1,10,5,à froid,à chaud,Contr,Oui,Oui
Qwen,Substitutive,11,1,0,1,1,10,1,vexer,se vexer,Result_2,Non,Non
Qwen,Substitutive,11,1,0,1,1,10,2,vexer,se vexer,Result_2,Non,Non
Qwen,Substitutive,11,1,0,1,1,10,3,vexer,se vexer,Result_2,Non,Non
Qwen,Substitutive,11,1,0,1,1,10,4,vexer,se vexer,Result_2,Non,Non
Qwen,Substitutive,11,1,0,1,1,10,5,vexer,se vexer,Result_2,Non,Non
Qwen,Substitutive,12,1,0,1,1,10,1,antérieur,antérieurement,Adv_0,Non,Non
Qwen,Substitutive,12,1,0,1,1,10,2,antérieur,antérieurement,Adv_0,Non,Non
Qwen,Substitutive,12,1,0,1,1,10,3,antérieur,antérieurement,Adv_0,Non,Non
Qwen,Substitutive,12,1,0,1,1,10,4,antérieur,antérieurement,Adv_0,Non,Non
Qwen,Substitutive,12,1,0,1,1,10,5,antérieur,antérieurement,Adv_0,Non,Non
Qwen,Substitutive,13,1,0,1,1,10,1,autoroute,autoroutier,A_0,Non,Non
Qwen,Substitutive,13,1,0,1,1,10,2,autoroute,autoroutier,A_0,Non,Non
Qwen,Substitutive,13,1,0,1,1,10,3,autoroute,autoroutier,A_0,Non,Non
Qwen,Substitutive,13,1,0,1,1,10,4,autoroute,autoroutier,A_0,Non,Non
Qwen,Substitutive,13,1,0,1,1,10,5,autoroute,autoroutier,A_0,Non,Non
Qwen,Substitutive,14,1,0,1,1,10,1,avalanche,en avalanche,Adv_1,Non,Non
Qwen,Substitutive,14,1,0,1,1,10,2,avalanche,en avalanche,Adv_1,Non,Non
Qwen,Substitutive,14,1,0,1,1,10,3,avalanche,en avalanche,Adv_1,Non,Non
Qwen,Substitutive,14,1,0,1,1,10,4,avalanche,en avalanche,Adv_1,Non,Non
Qwen,Substitutive,14,1,0,1,1,10,5,avalanche,en avalanche,Adv_1,Non,Non
Qwen,Substitutive,15,1,0,1,1,10,1,définition,définitionnel,A_0,Non,Non
Qwen,Substitutive,15,1,0,1,1,10,2,définition,définitionnel,A_0,Non,Non
Qwen,Substitutive,15,1,0,1,1,10,3,définition,définitionnel,A_0,Non,Non
Qwen,Substitutive,15,1,0,1,1,10,4,définition,définitionnel,A_0,Non,Non
Qwen,Substitutive,15,1,0,1,1,10,5,définition,définitionnel,A_0,Non,Non
Qwen,Substitutive,16,1,0,1,1,10,1,courage,courageusement,Adv_1,Non,Non
Qwen,Substitutive,16,1,0,1,1,10,2,courage,courageusement,Adv_1,Non,Non
Qwen,Substitutive,16,1,0,1,1,10,3,courage,courageusement,Adv_1,Non,Non
Qwen,Substitutive,16,1,0,1,1,10,4,courage,courageusement,Adv_1,Non,Non
Qwen,Substitutive,16,1,0,1,1,10,5,courage,courageusement,Adv_1,Non,Non
Qwen,Substitutive,17,1,0,1,1,10,1,aéroport,aéroportuaire,A_0,Non,Non
Qwen,Substitutive,17,1,0,1,1,10,2,aéroport,aéroportuaire,A_0,Non,Non
Qwen,Substitutive,17,1,0,1,1,10,3,aéroport,aéroportuaire,A_0,Non,Non
Qwen,Substitutive,17,1,0,1,1,10,4,aéroport,aéroportuaire,A_0,Non,Non
Qwen,Substitutive,17,1,0,1,1,10,5,aéroport,aéroportuaire,A_0,Non,Non
Qwen,Substitutive,18,1,0,1,1,10,1,critique,critique,S_res,Non,Non
Qwen,Substitutive,18,1,0,1,1,10,2,critique,critique,S_res,Non,Non
Qwen,Substitutive,18,1,0,1,1,10,3,critique,critique,S_res,Non,Non
Qwen,Substitutive,18,1,0,1,1,10,4,critique,critique,S_res,Non,Non
Qwen,Substitutive,18,1,0,1,1,10,5,critique,critique,S_res,Non,Non
Qwen,Substitutive,19,1,0,1,1,10,1,croiser,croisement,S_0,Non,Non
Qwen,Substitutive,19,1,0,1,1,10,2,croiser,croisement,S_0,Non,Non
Qwen,Substitutive,19,1,0,1,1,10,3,croiser,croisement,S_0,Non,Non
Qwen,Substitutive,19,1,0,1,1,10,4,croiser,croisement,S_0,Non,Non
Qwen,Substitutive,19,1,0,1,1,10,5,croiser,croisement,S_0,Non,Non
Qwen,Substitutive,20,1,0,1,1,10,1,service,client,S_2,Non,Non
Qwen,Substitutive,20,1,0,1,1,10,2,service,client,S_2,Non,Non
Qwen,Substitutive,20,1,0,1,1,10,3,service,client,S_2,Non,Non
Qwen,Substitutive,20,1,0,1,1,10,4,service,client,S_2,Non,Non
Qwen,Substitutive,20,1,0,1,1,10,5,service,client,S_2,Non,Non
Qwen,Subst_sens_similaire,1,1,0,1,1,10,1,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,1,1,0,1,1,10,2,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,1,1,0,1,1,10,3,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,1,1,0,1,1,10,4,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,1,1,0,1,1,10,5,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,2,1,0,1,1,10,1,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,2,1,0,1,1,10,2,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,2,1,0,1,1,10,3,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,2,1,0,1,1,10,4,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,2,1,0,1,1,10,5,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,3,1,0,1,1,10,1,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,3,1,0,1,1,10,2,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,3,1,0,1,1,10,3,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,3,1,0,1,1,10,4,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,3,1,0,1,1,10,5,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,4,1,0,1,1,10,1,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,4,1,0,1,1,10,2,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,4,1,0,1,1,10,3,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,4,1,0,1,1,10,4,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,4,1,0,1,1,10,5,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,5,1,0,1,1,10,1,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,5,1,0,1,1,10,2,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,5,1,0,1,1,10,3,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,5,1,0,1,1,10,4,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,5,1,0,1,1,10,5,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,6,1,0,1,1,10,1,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,6,1,0,1,1,10,2,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,6,1,0,1,1,10,3,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,6,1,0,1,1,10,4,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,6,1,0,1,1,10,5,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,7,1,0,1,1,10,1,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,7,1,0,1,1,10,2,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,7,1,0,1,1,10,3,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,7,1,0,1,1,10,4,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,7,1,0,1,1,10,5,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,8,1,0,1,1,10,1,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,8,1,0,1,1,10,2,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,8,1,0,1,1,10,3,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,8,1,0,1,1,10,4,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,8,1,0,1,1,10,5,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,9,1,0,1,1,10,1,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,9,1,0,1,1,10,2,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,9,1,0,1,1,10,3,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,9,1,0,1,1,10,4,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,9,1,0,1,1,10,5,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,10,1,0,1,1,10,1,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,10,1,0,1,1,10,2,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,10,1,0,1,1,10,3,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,10,1,0,1,1,10,4,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,10,1,0,1,1,10,5,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,11,1,0,1,1,10,1,désapprouver,approuver,Anti,Non,Non
Qwen,Subst_sens_similaire,11,1,0,1,1,10,2,désapprouver,approuver,Anti,Non,Non
Qwen,Subst_sens_similaire,11,1,0,1,1,10,3,désapprouver,approuver,Anti,Non,Non
Qwen,Subst_sens_similaire,11,1,0,1,1,10,4,désapprouver,approuver,Anti,Non,Non
Qwen,Subst_sens_similaire,11,1,0,1,1,10,5,désapprouver,approuver,Anti,Non,Non
Qwen,Subst_sens_similaire,12,1,0,1,1,10,1,s’éloigner,se rapprocher,Anti,Non,Non
Qwen,Subst_sens_similaire,12,1,0,1,1,10,2,s’éloigner,se rapprocher,Anti,Non,Non
Qwen,Subst_sens_similaire,12,1,0,1,1,10,3,s’éloigner,se rapprocher,Anti,Non,Non
Qwen,Subst_sens_similaire,12,1,0,1,1,10,4,s’éloigner,se rapprocher,Anti,Non,Non
Qwen,Subst_sens_similaire,12,1,0,1,1,10,5,s’éloigner,se rapprocher,Anti,Non,Non
Qwen,Subst_sens_similaire,13,1,0,1,1,10,1,mains propres,mains sales,Anti,Non,Non
Qwen,Subst_sens_similaire,13,1,0,1,1,10,2,mains propres,mains sales,Anti,Non,Non
Qwen,Subst_sens_similaire,13,1,0,1,1,10,3,mains propres,mains sales,Anti,Non,Non
Qwen,Subst_sens_similaire,13,1,0,1,1,10,4,mains propres,mains sales,Anti,Non,Non
Qwen,Subst_sens_similaire,13,1,0,1,1,10,5,mains propres,mains sales,Anti,Non,Non
Qwen,Subst_sens_similaire,14,1,0,1,1,10,1,démarrer,s’arrêter,Anti,Non,Non
Qwen,Subst_sens_similaire,14,1,0,1,1,10,2,démarrer,s’arrêter,Anti,Non,Non
Qwen,Subst_sens_similaire,14,1,0,1,1,10,3,démarrer,s’arrêter,Anti,Non,Non
Qwen,Subst_sens_similaire,14,1,0,1,1,10,4,démarrer,s’arrêter,Anti,Non,Non
Qwen,Subst_sens_similaire,14,1,0,1,1,10,5,démarrer,s’arrêter,Anti,Non,Non
Qwen,Subst_sens_similaire,15,1,0,1,1,10,1,efficacité,inefficacité,Anti,Non,Non
Qwen,Subst_sens_similaire,15,1,0,1,1,10,2,efficacité,inefficacité,Anti,Non,Non
Qwen,Subst_sens_similaire,15,1,0,1,1,10,3,efficacité,inefficacité,Anti,Non,Non
Qwen,Subst_sens_similaire,15,1,0,1,1,10,4,efficacité,inefficacité,Anti,Non,Non
Qwen,Subst_sens_similaire,15,1,0,1,1,10,5,efficacité,inefficacité,Anti,Non,Non
Qwen,Subst_sens_similaire,16,1,0,1,1,10,1,curable,inguérissable,Anti,Non,Non
Qwen,Subst_sens_similaire,16,1,0,1,1,10,2,curable,inguérissable,Anti,Non,Non
Qwen,Subst_sens_similaire,16,1,0,1,1,10,3,curable,inguérissable,Anti,Non,Non
Qwen,Subst_sens_similaire,16,1,0,1,1,10,4,curable,inguérissable,Anti,Non,Non
Qwen,Subst_sens_similaire,16,1,0,1,1,10,5,curable,inguérissable,Anti,Non,Non
Qwen,Subst_sens_similaire,17,1,0,1,1,10,1,sensible,sensible,Conv_21,Non,Non
Qwen,Subst_sens_similaire,17,1,0,1,1,10,2,sensible,sensible,Conv_21,Non,Non
Qwen,Subst_sens_similaire,17,1,0,1,1,10,3,sensible,sensible,Conv_21,Non,Non
Qwen,Subst_sens_similaire,17,1,0,1,1,10,4,sensible,sensible,Conv_21,Non,Non
Qwen,Subst_sens_similaire,17,1,0,1,1,10,5,sensible,sensible,Conv_21,Non,Non
Qwen,Subst_sens_similaire,18,1,0,1,1,10,1,intégration verticale,intégration horizontale,Contr,Non,Non
Qwen,Subst_sens_similaire,18,1,0,1,1,10,2,intégration verticale,intégration horizontale,Contr,Non,Non
Qwen,Subst_sens_similaire,18,1,0,1,1,10,3,intégration verticale,intégration horizontale,Contr,Non,Non
Qwen,Subst_sens_similaire,18,1,0,1,1,10,4,intégration verticale,intégration horizontale,Contr,Non,Non
Qwen,Subst_sens_similaire,18,1,0,1,1,10,5,intégration verticale,intégration horizontale,Contr,Non,Non
Qwen,Subst_sens_similaire,19,1,0,1,1,10,1,perdre,gagner,Anti,Non,Non
Qwen,Subst_sens_similaire,19,1,0,1,1,10,2,perdre,gagner,Anti,Non,Non
Qwen,Subst_sens_similaire,19,1,0,1,1,10,3,perdre,gagner,Anti,Non,Non
Qwen,Subst_sens_similaire,19,1,0,1,1,10,4,perdre,gagner,Anti,Non,Non
Qwen,Subst_sens_similaire,19,1,0,1,1,10,5,perdre,gagner,Anti,Non,Non
Qwen,Subst_sens_similaire,20,1,0,1,1,10,1,fermé,ouvert,Anti,Non,Non
Qwen,Subst_sens_similaire,20,1,0,1,1,10,2,fermé,ouvert,Anti,Non,Non
Qwen,Subst_sens_similaire,20,1,0,1,1,10,3,fermé,ouvert,Anti,Non,Non
Qwen,Subst_sens_similaire,20,1,0,1,1,10,4,fermé,ouvert,Anti,Non,Non
Qwen,Subst_sens_similaire,20,1,0,1,1,10,5,fermé,ouvert,Anti,Non,Non
Qwen,Subst_sens_similaire,21,2,0,1,1,10,1,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,21,2,0,1,1,10,2,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,21,2,0,1,1,10,3,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,21,2,0,1,1,10,4,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,21,2,0,1,1,10,5,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,22,2,0,1,1,10,1,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,22,2,0,1,1,10,2,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,22,2,0,1,1,10,3,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,22,2,0,1,1,10,4,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,22,2,0,1,1,10,5,inquiéter,s’inquiéter,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,23,2,0,1,1,10,1,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,23,2,0,1,1,10,2,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,23,2,0,1,1,10,3,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,23,2,0,1,1,10,4,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,23,2,0,1,1,10,5,creusé,creusé,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,24,2,0,1,1,10,1,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,24,2,0,1,1,10,2,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,24,2,0,1,1,10,3,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,24,2,0,1,1,10,4,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,24,2,0,1,1,10,5,bock,boisson alcoolisée,Gener,Oui,Non
Qwen,Subst_sens_similaire,25,2,0,1,1,10,1,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,25,2,0,1,1,10,2,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,25,2,0,1,1,10,3,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,25,2,0,1,1,10,4,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,25,2,0,1,1,10,5,pelouse,terrain,Gener,Oui,Non
Qwen,Subst_sens_similaire,26,2,0,1,1,10,1,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,26,2,0,1,1,10,2,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,26,2,0,1,1,10,3,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,26,2,0,1,1,10,4,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,26,2,0,1,1,10,5,revenir,se rappeler,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,27,2,0,1,1,10,1,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,27,2,0,1,1,10,2,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,27,2,0,1,1,10,3,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,27,2,0,1,1,10,4,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,27,2,0,1,1,10,5,se composer,composer,Conv_21,Oui,Non
Qwen,Subst_sens_similaire,28,2,0,1,1,10,1,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,28,2,0,1,1,10,2,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,28,2,0,1,1,10,3,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,28,2,0,1,1,10,4,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,28,2,0,1,1,10,5,vécés,wawa,Syn,Oui,Non
Qwen,Subst_sens_similaire,29,2,0,1,1,10,1,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,29,2,0,1,1,10,2,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,29,2,0,1,1,10,3,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,29,2,0,1,1,10,4,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,29,2,0,1,1,10,5,pinard,boisson,Gener,Oui,Non
Qwen,Subst_sens_similaire,30,2,0,1,1,10,1,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,30,2,0,1,1,10,2,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,30,2,0,1,1,10,3,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,30,2,0,1,1,10,4,popotin,derche,Syn,Oui,Non
Qwen,Subst_sens_similaire,30,2,0,1,1,10,5,popotin,derche,Syn,Oui,Oui
Qwen,Subst_sens_similaire,31,2,0,1,1,10,1,coudre,machine à coudre,S_instr,Non,Non
Qwen,Subst_sens_similaire,31,2,0,1,1,10,2,coudre,machine à coudre,S_instr,Non,Non
Qwen,Subst_sens_similaire,31,2,0,1,1,10,3,coudre,machine à coudre,S_instr,Non,Non
Qwen,Subst_sens_similaire,31,2,0,1,1,10,4,coudre,machine à coudre,S_instr,Non,Non
Qwen,Subst_sens_similaire,31,2,0,1,1,10,5,coudre,machine à coudre,S_instr,Non,Non
Qwen,Subst_sens_similaire,32,2,0,1,1,10,1,cailler,cailler,Result_2,Non,Non
Qwen,Subst_sens_similaire,32,2,0,1,1,10,2,cailler,cailler,Result_2,Non,Oui
Qwen,Subst_sens_similaire,32,2,0,1,1,10,3,cailler,cailler,Result_2,Non,Non
Qwen,Subst_sens_similaire,32,2,0,1,1,10,4,cailler,cailler,Result_2,Non,Non
Qwen,Subst_sens_similaire,32,2,0,1,1,10,5,cailler,cailler,Result_2,Non,Oui
Qwen,Subst_sens_similaire,33,2,0,1,1,10,1,fièvre,fébrilement,Adv_1,Non,Non
Qwen,Subst_sens_similaire,33,2,0,1,1,10,2,fièvre,fébrilement,Adv_1,Non,Non
Qwen,Subst_sens_similaire,33,2,0,1,1,10,3,fièvre,fébrilement,Adv_1,Non,Non
Qwen,Subst_sens_similaire,33,2,0,1,1,10,4,fièvre,fébrilement,Adv_1,Non,Non
Qwen,Subst_sens_similaire,33,2,0,1,1,10,5,fièvre,fébrilement,Adv_1,Non,Non
Qwen,Subst_sens_similaire,34,2,0,1,1,10,1,lointain,loin,Adv_0,Non,Non
Qwen,Subst_sens_similaire,34,2,0,1,1,10,2,lointain,loin,Adv_0,Non,Non
Qwen,Subst_sens_similaire,34,2,0,1,1,10,3,lointain,loin,Adv_0,Non,Non
Qwen,Subst_sens_similaire,34,2,0,1,1,10,4,lointain,loin,Adv_0,Non,Non
Qwen,Subst_sens_similaire,34,2,0,1,1,10,5,lointain,loin,Adv_0,Non,Non
Qwen,Subst_sens_similaire,35,2,0,1,1,10,1,averse,en averse,Adv_1,Non,Non
Qwen,Subst_sens_similaire,35,2,0,1,1,10,2,averse,en averse,Adv_1,Non,Non
Qwen,Subst_sens_similaire,35,2,0,1,1,10,3,averse,en averse,Adv_1,Non,Non
Qwen,Subst_sens_similaire,35,2,0,1,1,10,4,averse,en averse,Adv_1,Non,Non
Qwen,Subst_sens_similaire,35,2,0,1,1,10,5,averse,en averse,Adv_1,Non,Non
Qwen,Subst_sens_similaire,36,2,0,1,1,10,1,probable,probablement,Adv_0,Non,Non
Qwen,Subst_sens_similaire,36,2,0,1,1,10,2,probable,probablement,Adv_0,Non,Non
Qwen,Subst_sens_similaire,36,2,0,1,1,10,3,probable,probablement,Adv_0,Non,Non
Qwen,Subst_sens_similaire,36,2,0,1,1,10,4,probable,probablement,Adv_0,Non,Non
Qwen,Subst_sens_similaire,36,2,0,1,1,10,5,probable,probablement,Adv_0,Non,Non
Qwen,Subst_sens_similaire,37,2,0,1,1,10,1,bien,mal,Anti,Non,Non
Qwen,Subst_sens_similaire,37,2,0,1,1,10,2,bien,mal,Anti,Non,Non
